trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9980161562865429}",30,0,-125.502422672929,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9979205960533374}",20,0,-149.53651554574307,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.9978227904992117}",25,0,-70.27194260065752,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9977227398442284}",25,0,-98.45705839961414,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9976204443135014}",25,0,-91.64187203221057,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9975159041371955}",25,0,-100.13457236607383,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9974091195505261}",20,0,-39.11645769896369,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9973000907937586}",20,0,-95.52526952728275,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9971888181122075}",25,0,-130.52079493278546,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9970753017562363}",25,10,-103.3684064411263,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.9969595419812568}",35,14,-41.91335214767451,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.9968415390477284}",20,0,-74.3025708408813,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9967212932211577}",20,0,-84.09029761737632,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9965988047720977}",20,7,-10.00652195527017,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.9964740739761475}",30,0,-149.41785656403292,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9963471011139512}",20,0,-69.38000426648364,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9962178864711978}",25,0,-166.63766158595507,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.99608643033862}",30,0,-140.96664577274473,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-144.002427687775,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9958167947921394}",20,0,-146.85452214145462,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.9956786159849162}",35,0,-208.43795444504252,"{0: 23, 1: 2, 2: 3, 3: 4, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.9955381969012274}",20,0,-229.42872639938457,"{0: 8, 1: 0, 2: 6, 3: 3, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.9953955378570153}",20,0,-124.16513656328573,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9952506391732631}",20,0,-136.50020674234602,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9951035011759926}",30,0,-129.55074456177988,"{0: 21, 1: 4, 2: 1, 3: 2, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.9949541241962642}",20,0,-88.08345900618635,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.994802508570176}",20,8,-40.55839564114814,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.9946486546388634}",25,12,-67.46593175189119,"{0: 6, 1: 0, 2: 6, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.9944925627484974}",30,7,-149.02795722849388,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.9943342332502848}",30,0,-93.98649703756378,"{0: 21, 1: 5, 2: 1, 3: 2, 4: 1}",0
