trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.5, 'e': 0.962966366290334}",25,0,-138.31505001345346,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
183,False,"{'a': 0.5, 'e': 0.9625608507879115}",20,10,-29.086458195185077,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.9621531695239809}",30,0,-56.94017727236273,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
185,False,"{'a': 0.5, 'e': 0.9617433234158248}",30,4,-184.56989709610104,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 3}",1
186,False,"{'a': 0.5, 'e': 0.9613313133855966}",25,0,-223.02857957363125,"{0: 15, 1: 1, 2: 2, 3: 3, 4: 4}",0
187,False,"{'a': 0.5, 'e': 0.960917140360319}",20,0,-58.01911666825147,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.960500805271881}",25,0,-352.71959401576726,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 7}",0
189,False,"{'a': 0.5, 'e': 0.9600823090570362}",20,0,-68.66746094910447,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
190,False,"{'a': 0.5, 'e': 0.9596616526574011}",20,0,-108.05341602847486,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
191,False,"{'a': 0.5, 'e': 0.9592388370194523}",25,0,-107.44020995079245,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
192,False,"{'a': 0.5, 'e': 0.9588138630945251}",20,0,-77.29560876981598,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
193,False,"{'a': 0.5, 'e': 0.9583867318388103}",25,0,-127.11834577303492,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
194,False,"{'a': 0.5, 'e': 0.9579574442133532}",30,15,-132.7277562784694,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 3}",1
195,False,"{'a': 0.5, 'e': 0.9575260011840507}",25,0,-167.38990668978497,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
196,False,"{'a': 0.5, 'e': 0.9570924037216496}",20,0,-106.12513949272335,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
197,False,"{'a': 0.5, 'e': 0.9566566528017438}",25,12,-72.75636510777268,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
198,False,"{'a': 0.5, 'e': 0.9562187494047729}",25,0,-129.24730666647864,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
199,False,"{'a': 0.5, 'e': 0.9557786945160192}",20,0,-104.32844936461123,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
200,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-152.16789190739846,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
201,False,"{'a': 0.5, 'e': 0.9548921342284954}",20,0,-84.52794012296114,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
202,False,"{'a': 0.5, 'e': 0.9544456308244855}",25,0,-107.17234697967447,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
203,False,"{'a': 0.5, 'e': 0.953996979918209}",25,0,-195.72020628989986,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
204,False,"{'a': 0.5, 'e': 0.9535461825191301}",20,0,-41.655186008900394,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
205,False,"{'a': 0.5, 'e': 0.9530932396415428}",20,0,-56.61285755111802,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.9526381523045685}",35,0,-105.29574038300244,"{0: 23, 1: 2, 2: 8, 3: 2, 4: 0}",0
207,False,"{'a': 0.5, 'e': 0.9521809215321533}",25,0,-145.97406280810085,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
208,False,"{'a': 0.5, 'e': 0.9517215483530664}",30,0,-68.73969340154022,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.9512600338008972}",20,0,-71.65784480222558,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
210,False,"{'a': 0.5, 'e': 0.9507963789140532}",25,0,-194.12450095055374,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
211,False,"{'a': 0.5, 'e': 0.9503305847357578}",25,0,-29.1948331530118,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
212,False,"{'a': 0.5, 'e': 0.9498626523140478}",20,0,-35.87736445522308,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
213,False,"{'a': 0.5, 'e': 0.9493925827017706}",20,9,-97.94984072972927,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 2}",1
214,False,"{'a': 0.5, 'e': 0.948920376956583}",20,0,-100.13372037135971,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
215,False,"{'a': 0.5, 'e': 0.9484460361409476}",20,0,-116.9302828488843,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
216,False,"{'a': 0.5, 'e': 0.9479695613221308}",30,2,-143.2382190255126,"{0: 13, 1: 4, 2: 8, 3: 3, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.9474909535722011}",25,0,-114.53552324886051,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
218,False,"{'a': 0.5, 'e': 0.9470102139680256}",25,0,-130.59692398207852,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
219,False,"{'a': 0.5, 'e': 0.9465273435912682}",25,1,-60.720778205952,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.946042343528387}",20,0,-86.00711069292245,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
221,False,"{'a': 0.5, 'e': 0.945555214870632}",20,0,-77.34917569494219,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.9450659587140423}",25,0,-74.07713312048378,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
223,False,"{'a': 0.5, 'e': 0.9445745761594444}",20,0,-88.39613403490036,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
224,False,"{'a': 0.5, 'e': 0.9440810683124485}",20,0,-131.40224005081564,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
225,False,"{'a': 0.5, 'e': 0.9435854362834473}",25,12,-54.75798624599995,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
226,False,"{'a': 0.5, 'e': 0.9430876811876123}",20,0,-108.28539812214898,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
227,False,"{'a': 0.5, 'e': 0.9425878041448927}",20,0,-39.16425649306579,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
228,False,"{'a': 0.5, 'e': 0.9420858062800114}",20,16,6.62313094383882,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.9415816887224634}",25,13,-83.98832138058876,"{0: 6, 1: 3, 2: 0, 3: 2, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.941075452606513}",25,0,-175.52647433275524,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
231,False,"{'a': 0.5, 'e': 0.9405670990711913}",25,0,-160.9014160366403,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
232,False,"{'a': 0.5, 'e': 0.9400566292602934}",20,0,-44.35189900832651,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.9395440443223763}",25,0,-252.38298312195764,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 5}",0
234,False,"{'a': 0.5, 'e': 0.9390293454107558}",25,0,-163.48818835321106,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
235,False,"{'a': 0.5, 'e': 0.9385125336835043}",25,0,-205.25281766556446,"{0: 10, 1: 3, 2: 8, 3: 2, 4: 2}",0
236,False,"{'a': 0.5, 'e': 0.937993610303448}",20,10,-58.08030372724548,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
237,False,"{'a': 0.5, 'e': 0.9374725764381642}",30,0,-200.6063025373465,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
238,False,"{'a': 0.5, 'e': 0.9369494332599789}",20,0,-219.34919783432457,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
239,False,"{'a': 0.5, 'e': 0.936424181945964}",20,0,-45.2593755973009,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
240,False,"{'a': 0.5, 'e': 0.9358968236779348}",25,0,-94.95342645453599,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
241,False,"{'a': 0.5, 'e': 0.9353673596424472}",30,0,-198.67235097769645,"{0: 17, 1: 1, 2: 7, 3: 3, 4: 2}",0
242,False,"{'a': 0.5, 'e': 0.9348357910307951}",30,0,-107.86650456842992,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
243,False,"{'a': 0.5, 'e': 0.9343021190390074}",35,6,-117.02228811971054,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 1}",1
244,False,"{'a': 0.5, 'e': 0.933766344867846}",25,0,-168.72675805006034,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
245,False,"{'a': 0.5, 'e': 0.9332284697228027}",25,0,-160.28874424060297,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
246,False,"{'a': 0.5, 'e': 0.9326884948140962}",20,0,-127.99818902421934,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
247,False,"{'a': 0.5, 'e': 0.9321464213566698}",30,0,-103.88959405280318,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
248,False,"{'a': 0.5, 'e': 0.9316022505701886}",30,0,-78.55492289133467,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
249,False,"{'a': 0.5, 'e': 0.9310559836790367}",20,2,-72.5153218546034,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
250,False,"{'a': 0.5, 'e': 0.9305076219123143}",20,0,-114.35215952405046,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
251,False,"{'a': 0.5, 'e': 0.9299571665038351}",20,0,-26.698967436727447,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
252,False,"{'a': 0.5, 'e': 0.9294046186921237}",30,0,-270.9444271264369,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 5}",0
253,False,"{'a': 0.5, 'e': 0.9288499797204122}",20,0,-20.975648159188236,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
254,False,"{'a': 0.5, 'e': 0.9282932508366383}",20,0,-61.98016321938691,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
255,False,"{'a': 0.5, 'e': 0.9277344332934415}",25,0,-41.30650212690795,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
256,False,"{'a': 0.5, 'e': 0.9271735283481612}",25,0,-151.23016450907775,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
257,False,"{'a': 0.5, 'e': 0.9266105372628334}",25,0,-79.73794083916623,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
258,False,"{'a': 0.5, 'e': 0.9260454613041876}",20,0,-135.11360130510275,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
259,False,"{'a': 0.5, 'e': 0.9254783017436445}",20,0,-163.19958422700185,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
260,False,"{'a': 0.5, 'e': 0.9249090598573131}",20,0,-124.16383650030161,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
261,False,"{'a': 0.5, 'e': 0.924337736925987}",20,0,-94.59426146282453,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
262,False,"{'a': 0.5, 'e': 0.9237643342351428}",25,0,-217.37867160147965,"{0: 8, 1: 8, 2: 3, 3: 4, 4: 2}",0
263,False,"{'a': 0.5, 'e': 0.9231888530749364}",20,8,-15.286662669907969,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.9226112947402}",30,0,-70.66776205848835,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
265,False,"{'a': 0.5, 'e': 0.9220316605304396}",20,9,-44.69032472811992,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
266,False,"{'a': 0.5, 'e': 0.921449951749832}",20,10,-34.47526987319205,"{0: 4, 1: 4, 2: 2, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.9208661697072218}",20,0,-113.93122654731285,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
268,False,"{'a': 0.5, 'e': 0.9202803157161181}",20,0,-55.08180464874438,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
269,False,"{'a': 0.5, 'e': 0.9196923910946925}",20,0,-21.073787909064297,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
270,False,"{'a': 0.5, 'e': 0.9191023971657747}",25,0,-107.6881350773491,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
271,False,"{'a': 0.5, 'e': 0.9185103352568511}",20,0,-114.08741343098475,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
272,False,"{'a': 0.5, 'e': 0.9179162067000607}",20,0,-251.59108164575704,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 5}",0
273,False,"{'a': 0.5, 'e': 0.9173200128321924}",25,0,-93.38707705356316,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
274,False,"{'a': 0.5, 'e': 0.9167217549946823}",35,2,-298.28842923656447,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 5}",1
275,False,"{'a': 0.5, 'e': 0.9161214345336103}",25,0,-64.83158457627094,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
276,False,"{'a': 0.5, 'e': 0.9155190527996969}",20,0,-113.62394653629421,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
277,False,"{'a': 0.5, 'e': 0.914914611148301}",25,0,-151.00175222405284,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
278,False,"{'a': 0.5, 'e': 0.914308110939416}",20,0,-17.888355861468956,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.9136995535376672}",25,0,-172.34531231909077,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
280,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-84.86215835415868,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
281,False,"{'a': 0.5, 'e': 0.9124762726372189}",25,0,-70.60664019079569,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
282,False,"{'a': 0.5, 'e': 0.911861551890901}",30,0,-207.11289225533983,"{0: 14, 1: 4, 2: 7, 3: 3, 4: 2}",0
283,False,"{'a': 0.5, 'e': 0.9112447794564761}",25,11,-60.83783517834603,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.9106259567216819}",20,0,-93.1020449587389,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
285,False,"{'a': 0.5, 'e': 0.9100050850788691}",20,5,-85.92501792101248,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
286,False,"{'a': 0.5, 'e': 0.9093821659249989}",30,0,-326.0746199511159,"{0: 12, 1: 5, 2: 5, 3: 3, 4: 5}",0
287,False,"{'a': 0.5, 'e': 0.908757200661639}",20,0,-86.29787631782264,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
288,False,"{'a': 0.5, 'e': 0.9081301906949609}",20,0,-88.98908469123474,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
289,False,"{'a': 0.5, 'e': 0.907501137435737}",20,0,-123.330909690565,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
290,False,"{'a': 0.5, 'e': 0.9068700422993367}",20,0,-117.39537318039582,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
291,False,"{'a': 0.5, 'e': 0.9062369067057237}",25,5,-162.62699932939435,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",1
292,False,"{'a': 0.5, 'e': 0.9056017320794529}",20,0,-70.97601411108226,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.9049645198496671}",30,0,-79.61797266780059,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
294,False,"{'a': 0.5, 'e': 0.9043252714500934}",30,0,-197.24366927935614,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
295,False,"{'a': 0.5, 'e': 0.9036839883190404}",25,5,-50.31342441488525,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.903040671899395}",25,0,-143.6549334049882,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
297,False,"{'a': 0.5, 'e': 0.9023953236386187}",25,10,-68.63750163181746,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
298,False,"{'a': 0.5, 'e': 0.901747944988745}",35,0,-251.04747970565077,"{0: 19, 1: 1, 2: 11, 3: 0, 4: 4}",0
299,False,"{'a': 0.5, 'e': 0.9010985374063755}",20,0,-148.13746338430744,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
300,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-101.6918706561227,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
301,False,"{'a': 0.5, 'e': 0.8997936412933779}",20,0,-95.30872208419125,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
302,False,"{'a': 0.5, 'e': 0.8991381556987657}",20,0,-68.66902589514363,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
303,False,"{'a': 0.5, 'e': 0.8984806470436824}",20,0,-105.04607742995088,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
304,False,"{'a': 0.5, 'e': 0.8978211168075223}",30,0,-205.171575992068,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
305,False,"{'a': 0.5, 'e': 0.8971595664742282}",20,14,-37.090390674592626,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
306,False,"{'a': 0.5, 'e': 0.896495997532288}",25,0,-175.51504292547565,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
307,False,"{'a': 0.5, 'e': 0.8958304114747315}",20,0,-92.50049613812172,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
308,False,"{'a': 0.5, 'e': 0.8951628097991272}",20,0,-146.71002260640506,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
309,False,"{'a': 0.5, 'e': 0.8944931940075784}",20,0,-115.39377385269225,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
310,False,"{'a': 0.5, 'e': 0.8938215656067205}",20,0,-78.82768631644443,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
311,False,"{'a': 0.5, 'e': 0.8931479261077172}",20,0,-104.19318241591294,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
312,False,"{'a': 0.5, 'e': 0.8924722770262568}",20,0,-18.27172485886037,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
313,False,"{'a': 0.5, 'e': 0.8917946198825496}",20,10,-37.359284614109164,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.891114956201324}",20,0,-199.936742671702,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
315,False,"{'a': 0.5, 'e': 0.8904332875118227}",20,0,-36.29686431248056,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
316,False,"{'a': 0.5, 'e': 0.8897496153478003}",30,0,-164.81831020222953,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
317,False,"{'a': 0.5, 'e': 0.8890639412475188}",25,0,-73.29869464550528,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
318,False,"{'a': 0.5, 'e': 0.8883762667537444}",30,0,-132.87462962528872,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
319,False,"{'a': 0.5, 'e': 0.8876865934137447}",20,0,-106.33045315821512,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
320,False,"{'a': 0.5, 'e': 0.8869949227792842}",25,0,-113.0370692141484,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
321,False,"{'a': 0.5, 'e': 0.8863012564066217}",20,0,-90.56744422050373,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
322,False,"{'a': 0.5, 'e': 0.8856055958565062}",30,10,-89.86852488782733,"{0: 14, 1: 2, 2: 0, 3: 3, 4: 1}",1
323,False,"{'a': 0.5, 'e': 0.8849079426941736}",20,0,-31.85947007104703,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.8842082984893433}",35,5,-236.60292147900785,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 5}",1
325,False,"{'a': 0.5, 'e': 0.8835066648162144}",30,0,-70.38834484875771,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
326,False,"{'a': 0.5, 'e': 0.8828030432534625}",20,0,-92.51231258477328,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
327,False,"{'a': 0.5, 'e': 0.8820974353842356}",25,0,-103.52709733969057,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
328,False,"{'a': 0.5, 'e': 0.8813898427961513}",20,4,-56.996664323704884,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.8806802670812924}",20,0,-123.36026108033403,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
330,False,"{'a': 0.5, 'e': 0.8799687098362042}",20,0,-95.07621143730908,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
331,False,"{'a': 0.5, 'e': 0.8792551726618901}",30,0,-118.83211848349063,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
332,False,"{'a': 0.5, 'e': 0.8785396571638084}",20,0,-32.66127342809009,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
333,False,"{'a': 0.5, 'e': 0.8778221649518688}",25,0,-53.00579115059566,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
334,False,"{'a': 0.5, 'e': 0.8771026976404284}",20,0,-44.25788121435187,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
335,False,"{'a': 0.5, 'e': 0.8763812568482883}",20,0,-61.032277073192816,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
336,False,"{'a': 0.5, 'e': 0.87565784419869}",25,5,-137.65448729670928,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",1
337,False,"{'a': 0.5, 'e': 0.8749324613193116}",25,0,-109.0614804397517,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",1
338,False,"{'a': 0.5, 'e': 0.8742051098422644}",25,0,-141.65656954299592,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
339,False,"{'a': 0.5, 'e': 0.8734757914040889}",30,0,-92.22467216653068,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
340,False,"{'a': 0.5, 'e': 0.8727445076457513}",20,0,-106.17948824137477,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
341,False,"{'a': 0.5, 'e': 0.8720112602126395}",30,0,-175.3941957762725,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
342,False,"{'a': 0.5, 'e': 0.8712760507545603}",25,0,-162.52390356899136,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
343,False,"{'a': 0.5, 'e': 0.8705388809257344}",25,0,-159.6563784640202,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
344,False,"{'a': 0.5, 'e': 0.8697997523847936}",25,13,-24.390432805287993,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.869058666794777}",30,0,-145.90190211013532,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
346,False,"{'a': 0.5, 'e': 0.8683156258231266}",20,0,-70.26306122880389,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
347,False,"{'a': 0.5, 'e': 0.8675706311416845}",20,0,-62.886758818498336,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
348,False,"{'a': 0.5, 'e': 0.8668236844266883}",25,0,-90.64391957842297,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
349,False,"{'a': 0.5, 'e': 0.866074787358768}",20,8,-60.77508571368041,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
350,False,"{'a': 0.5, 'e': 0.8653239416229412}",25,4,-62.67360420100972,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.8645711489086111}",25,0,-105.18866736146131,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
352,False,"{'a': 0.5, 'e': 0.8638164109095605}",20,7,-66.90580539150656,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
353,False,"{'a': 0.5, 'e': 0.8630597293239499}",30,0,-117.49224524313426,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
354,False,"{'a': 0.5, 'e': 0.8623011058543124}",25,0,-94.83269461386759,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
355,False,"{'a': 0.5, 'e': 0.8615405422075505}",30,0,-30.265131914570652,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
356,False,"{'a': 0.5, 'e': 0.8607780400949321}",20,6,-85.25451528642628,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 1}",1
357,False,"{'a': 0.5, 'e': 0.8600136012320866}",30,0,-31.034027621471893,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
358,False,"{'a': 0.5, 'e': 0.8592472273390012}",20,0,-91.26893073235036,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
359,False,"{'a': 0.5, 'e': 0.8584789201400167}",20,0,-48.16190863807306,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
360,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,0.4825988642233604,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
361,False,"{'a': 0.5, 'e': 0.8569365127434604}",30,0,-41.65293412678831,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
362,False,"{'a': 0.5, 'e': 0.8561624160163044}",30,0,-173.3879050707396,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
363,False,"{'a': 0.5, 'e': 0.8553863929240736}",25,0,-112.08136179842913,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
364,False,"{'a': 0.5, 'e': 0.8546084452128195}",25,0,-123.52428405767769,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
365,False,"{'a': 0.5, 'e': 0.8538285746329243}",25,0,-157.02547204722742,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
